SP Number,ImageUrl,Name,Background,Skull,Eyes,Clothes,Headwear,Accessory,Background,Skull,Eyes,Clothes,Headwear,Accessory,Price,Price USD,Score,Top,Rank
543,https://d1mx8bduarpf8s.cloudfront.net/QmWLMrHobC9Rn11H7cLaHAks1Jp1QusQgMqnpnjtLXyzjv,Skeleton Punk #543,Plague Angel Background,Plague Angel Skull,Plague Angel Eyes,Plague Angel Clothes,Plague Angel Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,2500  LUNA,258511,25322.897025171624,0.02%,1
1101,https://d1mx8bduarpf8s.cloudfront.net/QmPKi6vLCm1GtFQ8NNA4X8C8TGpRJZxkNg1QpLbG3bjWcB,Skeleton Punk #1101,Dragon Background,Dragon Skull,Dragon Eyes,Dragon Clothes,Dragon Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,  ,0,25322.897025171624,0.04%,2
1197,https://d1mx8bduarpf8s.cloudfront.net/QmNdXbmFXMkB4AGmnGPfKCPHcNPwAvaACzZ9fSzVXeQJso,Skeleton Punk #1197,Grim Reaper Background,Grim Reaper Skull,Grim Reaper Eyes,Grim Reaper Clothes,Grim Reaper Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,  ,0,25322.897025171624,0.06%,3
2364,https://d1mx8bduarpf8s.cloudfront.net/QmPgoVdDjr4E6TLvMqXjwRYPeTpnnehoUPhrnMRx4J83YD,Skeleton Punk #2364,Jedi Background,Jedi Skull,Jedi Eyes,Jedi Clothes,Jedi Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,  ,0,25322.897025171624,0.08%,4
3409,https://d1mx8bduarpf8s.cloudfront.net/QmZepsmnVLKxkRjpnNuQjqgyKU7FQXbjQr1LEAx5pod9CQ,Skeleton Punk #3409,Pharaoh Background,Pharaoh Skull,Pharaoh Eyes,Pharaoh Clothes,Pharaoh Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,  ,0,25322.897025171624,0.10%,5
3840,https://d1mx8bduarpf8s.cloudfront.net/QmZPtQzSHjycCj79LMN1HuEa4rGQLND2XWqeGMQWdY6x46,Skeleton Punk #3840,Kintsugi Background,Shaman Skull,Kintsugi Eyes,Kintsugi Clothes,Kintsugi Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,220  LUNA,22749,25322.897025171624,0.12%,6
4607,https://d1mx8bduarpf8s.cloudfront.net/Qme5v98s34NEzeAuEVfccsjqNBqSxQhSQKbEdvBHRW3ZVS,Skeleton Punk #4607,Samurai Background,Samurai Skull,Samurai Eyes,Samurai Clothes,Samurai Headwear,None,0.02,0.02,0.02,0.02,0.02,34.52,255  LUNA,26368,25322.897025171624,0.14%,7
4710,https://d1mx8bduarpf8s.cloudfront.net/QmSSxGDndcsMmXbjCvhsWceSkaunUggSHgjJPF57pn9Lk8,Skeleton Punk #4710,Los Muertos Background,Los Muertos Skull,Los Muertos Eyes,Los Muertos Clothes,None,None,0.02,0.02,0.02,0.02,14.91,34.52,  ,0,20265.604309939834,0.16%,8
313,https://d1mx8bduarpf8s.cloudfront.net/QmY8PiXhVVsZuonSVCUhfrQ7Ec5NzsMRiQSinGsRPJBDRz,Skeleton Punk #313,Retro Lightning,Icy,Angel Eyes,Angel Wings,Angel Halo,None,1.99,14.08,0.04,0.06,0.04,34.52,  ,0,6812.1380233247355,0.18%,9
1561,https://d1mx8bduarpf8s.cloudfront.net/QmQKdq8zRPWZP68RJCDCK51XDUmLUzGUkx9G8MvB1yuVSL,Skeleton Punk #1561,Purple Graveyard,Cold,Angel Eyes,Angel Wings,Angel Halo,None,4.98,5.00,0.04,0.06,0.04,34.52,  ,0,6795.008073543543,0.20%,10
1918,https://d1mx8bduarpf8s.cloudfront.net/QmarmoyfRFAQxBcGWg6GXkH6FmVaxuon32DK1qqw5Q3TMR,Skeleton Punk #1918,Space,Kintsugi,Eyepatch,Maryjane,Emerald Crown,Golden Cigar,1.46,0.63,5.19,0.02,1.13,1.95,  ,0,5449.930805698816,0.22%,11
1634,https://d1mx8bduarpf8s.cloudfront.net/QmTfPYLzrWEJkLLMVqMcAdDjbrg1CtTahPyR2foJN5hAaf,Skeleton Punk #1634,Mystical Graveyard,Golden,Lava Glasses,Golden Pads,Emerald Crown,None,0.02,1.05,1.76,1.28,1.13,34.52,  ,0,5386.09286895829,0.24%,12
2347,https://d1mx8bduarpf8s.cloudfront.net/QmcqJu2eRtfCK62D6mW3XF1QgPysT93MFLkFKh4aRfwP4g,Skeleton Punk #2347,Red Retro,Grey,Red Laser,Knight,Black Pompadour,None,0.02,17.75,0.99,1.90,3.65,34.52,  ,0,5253.932923617344,0.26%,13
381,https://d1mx8bduarpf8s.cloudfront.net/QmQfmKHQGd39Pv48Q6v2kBFZxd7z26VAL8XQk1egcTK2jx,Skeleton Punk #381,Mystical Desert,Plague Angel,Blindfold,Solar Powered,None,Golden Earring,4.17,0.02,7.44,2.01,14.91,7.39,250  LUNA,25851,5171.32681128632,0.28%,14
