Token Id,ImageUrl,Name,Background,Chain Accessory,Lapel Pin,Anarchist,Head,Rank Insignia,Shirt,Suit,Tie,Vest,Pocket Square,Space Helmet Lining,Space Helmet Symbols,Space Helmet Reflection,Tie Clip,Gas Mask Breather,Gas Mask Eyepiece,Gas Mask Head Piece,Gas Mask Secondary Color,Hat Card,Hat Feathers,Background,Chain Accessory,Lapel Pin,Anarchist,Head,Rank Insignia,Shirt,Suit,Tie,Vest,Pocket Square,Space Helmet Lining,Space Helmet Symbols,Space Helmet Reflection,Tie Clip,Gas Mask Breather,Gas Mask Eyepiece,Gas Mask Head Piece,Gas Mask Secondary Color,Hat Card,Hat Feathers,Score,Top,Rank
100,https://d1mx8bduarpf8s.cloudfront.net/QmQDuLiry7zQsXhdZMBwfJn7ajuRgPbtNCd8oZLziZrfJ8,Anarchist #100,Deathstar,Gold Weed Leaf,None,Revivalist,Black Gas Mask,Specialist,Jedi,Jedi Peaked Collar,None,None,None,None,None,None,None,Black Square,Black Smooth Double Lens,Black Horns,Dark Green,None,None,0.04%,0.04%,7.28%,38.36%,17.36%,7.20%,0.04%,0.04%,20.12%,30.24%,37.80%,61.76%,61.76%,61.76%,78.44%,2.28%,2.32%,3.60%,0.04%,96.76%,96.32%,12669.86,0.04%,1
101,https://d1mx8bduarpf8s.cloudfront.net/QmUPMqWsBAqggJ2sQ9Ptt9PzXGHCWkEhWKWKHMLW96gAFS,Anarchist #101,Mars,None,Voyager Gold Pin,Cosmonaut,Black Space Helmet,Command Sergeant Major,Black,Dark Green Narrow Collar,None,None,None,Black,Peace,Supernova Blast,None,None,None,None,None,None,None,5.48%,39.60%,0.04%,38.24%,15.48%,1.96%,15.12%,0.04%,20.12%,30.24%,37.80%,15.76%,3.88%,2.24%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,96.32%,5184.80,0.08%,2
1072,https://d1mx8bduarpf8s.cloudfront.net/QmahiqjqotKsfrzu1h9WNNYqsxK7E1aPbMSF7N34ACrGR7,Anarchist #1072,Red Smoke,Extinction Silver,Terra Gold Pin,None,Black Trillby Hat,None,Black,Navy Blue Peaked Collar,Hong Kong Protest Necktie,None,None,None,None,None,Silver,None,None,None,None,Ace of Diamonds,3 Striped Feathers,11.52%,24.44%,3.16%,2.24%,0.16%,27.68%,15.12%,3.32%,8.12%,30.24%,37.80%,61.76%,61.76%,61.76%,12.32%,61.64%,61.64%,70.64%,61.64%,1.16%,1.00%,978.14,0.12%,3
429,https://d1mx8bduarpf8s.cloudfront.net/QmdQ5vxZ2BDoPXL2JWm53hZZTtd82dh1gXj5it1Xxhbdvp,Anarchist #429,Earth,Anarchy Silver,Osmosis Silver Pin,None,Grey Trillby Hat,Corporal,Navy Blue,Grey Dapper Wide Collar,None,White Doublebreasted,None,None,None,None,None,None,None,None,None,Ace of Clubs,Yellow Fanned Feather,6.08%,25.68%,2.56%,2.24%,0.40%,19.56%,16.72%,0.84%,20.12%,5.80%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.36%,0.60%,965.90,0.16%,4
1762,https://d1mx8bduarpf8s.cloudfront.net/QmcC6NPwZvAMYscQqa98ipXBDv48mbxUE8kw7vDdk5jYqD,Anarchist #1762,Bulletholes,Extinction Gold,Terra Silver Pin,None,Black Trillby Hat,Private,Burgundy,Grey Peaked Collar,Red Necktie,White Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Hearts,3 Brown Feathers,8.24%,4.72%,3.96%,2.24%,0.16%,24.08%,17.88%,3.88%,7.92%,5.32%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,1.28%,1.48%,955.91,0.20%,5
1677,https://d1mx8bduarpf8s.cloudfront.net/Qmd4ZqX8L8e6rF68tLYrVEDtvCUjDm63xVUPJFWG4PgSSY,Anarchist #1677,Earth,Extinction Silver,Secret Silver Pin,None,Black Trillby Hat,Private,White,Grey Peaked Collar,Navy Blue Necktie,None,None,None,None,None,Gold,None,None,None,None,None,None,6.08%,24.44%,2.20%,2.24%,0.16%,24.08%,16.68%,3.88%,7.92%,30.24%,37.80%,61.76%,61.76%,61.76%,9.24%,61.64%,61.64%,70.64%,61.64%,96.76%,96.32%,814.17,0.24%,6
2253,https://d1mx8bduarpf8s.cloudfront.net/Qmcyz9MJioe4YJbDo9rsdLE8eefZ1osCmavG1oXebxumva,Anarchist #2253,Bulletholes,Anarchy Gold,Chihuahua Silver Pin,None,Black Trillby Hat,Private,Navy Blue,Black Narrow Collar,None,None,Purple,None,None,None,None,None,None,None,None,None,None,8.24%,5.52%,2.40%,2.24%,0.16%,24.08%,16.72%,3.52%,20.12%,30.24%,12.32%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,96.76%,96.32%,810.98,0.28%,7
882,https://d1mx8bduarpf8s.cloudfront.net/QmbYr8CH9ZbFzmayKPX7FaJJZUHJHnshiS55DswaPRNiAb,Anarchist #882,Venus,None,Canadian Flag Silver Pin,Invisible,Grey Bowler Hat,Private,Navy Blue,Techno Color Narrow Collar,Hong Kong Protest Necktie,White Singlebreasted,None,None,None,None,None,None,None,None,None,Ace of Clubs,Yellow Fanned Feather,3.72%,39.60%,2.24%,21.16%,0.96%,24.08%,16.72%,1.12%,8.12%,5.32%,37.80%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.36%,0.60%,772.98,0.32%,8
1522,https://d1mx8bduarpf8s.cloudfront.net/QmYKien8Xie7QgHqRKy9GqoZ4xX2zVexydNMe81bMmPw1P,Anarchist #1522,Bulletholes,Extinction Silver,Ukrainian Flag Silver Pin,None,Navy Blue Trillby Hat,Sergeant,White,Navy Blue Wide Collar,Red Bowtie,Black Singlebreasted,Navy Blue,None,None,None,None,None,None,None,None,Ace of Clubs,3 Brown Feathers,8.24%,24.44%,1.60%,2.24%,0.60%,15.28%,16.68%,2.68%,7.92%,5.56%,13.08%,61.76%,61.76%,61.76%,78.44%,61.64%,61.64%,70.64%,61.64%,0.36%,1.48%,735.91,0.36%,9
2119,https://d1mx8bduarpf8s.cloudfront.net/QmeAukV1VMo1yUS1TUYx6AVtFrz3VLHgYQyevt8g97kqmR,Anarchist #2119,Spotlight,Extinction Silver,Mars Protocol Gold Pin,None,Grey Trillby Hat,Private,Charcoal,Grey Wide Collar,Hong Kong Protest Necktie,Charcoal Doublebreasted,White,None,None,None,Silver,None,None,None,None,Ace of Hearts,Orange Feather,23.68%,24.44%,1.56%,2.24%,0.40%,24.08%,17.64%,2.84%,8.12%,5.56%,12.16%,61.76%,61.76%,61.76%,12.32%,61.64%,61.64%,70.64%,61.64%,1.28%,0.60%,714.67,0.40%,10
